"index","citations","year","Title"
"216","4","1989","Neural Network Weight Matrix Synthesis Using Optimal Control Techniques"
"217","4","1989","Complexity of Finite Precision Neural Network Classifier"
"218","165","1989","Learning to Control an Unstable System with Forward Modeling"
"219","13","1989","Acoustic-Imaging Computations by Echolocating Bats: Unification of Diversely-Represented Stimulus Features into Whole Images"
"220","95","1989","Generalization and Scaling in Reinforcement Learning"
"221","102","1989","Sequential Decision Problems and Neural Networks"
"222","347","1989","Training Stochastic Model Recognition Algorithms as Networks can Lead to Maximum Mutual Information Estimation of Parameters"
"223","43","1989","Connectionist Architectures for Multi-Speaker Phoneme Recognition"
"224","1","1989","Analytic Solutions to the Formation of Feature-Analysing Cells of a Three-Layer Feedforward Visual Information Processing Neural Net"
"225","4","1989","The Effect of Catecholamines on Performance: From Unit to System Behavior"
"226","228","1989","Recognizing Hand-Printed Letters and Digits"
"227","168","1989","Higher Order Recurrent Networks and Grammatical Inference"
"228","13","1989","Comparing the Performance of Connectionist and Statistical Classifiers on an Image Segmentation Problem"
"229","85","1989","Meiosis Networks"
"230","103","1989","An Efficient Implementation of the Back-propagation Algorithm on the Connection Machine CM-2"
"231","20","1989","Effects of Firing Synchrony on Signal Propagation in Layered Networks"
"232","84","1989","Using Local Models to Control Movement"
"233","35","1989","A Neural Network for Feature Extraction"
"234","21","1989","Collective Oscillations in the Visual Cortex"
"235","4","1989","A Neural Network to Detect Homologies in Proteins"
"236","8","1989","Neural Network Analysis of Distributed Representations of Dynamical Sensory-Motor Transformations in the Leech"
"237","7","1989","Dataflow Architectures: Flexible Platforms for Neural Network Simulation"
"238","40","1989","Pulse-Firing Neural Chips for Hundreds of Neurons"
"239","3","1989","Neuronal Group Selection Theory: A Grounding in Robotics"
"240","37","1989","Time Dependent Adaptive Neural Networks"
"241","28","1989","TRAFFIC: Recognizing Objects Using Hierarchical Reference Frame Transformations"
"242","150","1989","Designing Application-Specific Neural Networks Using the Genetic Algorithm"
"243","16","1989","Adjoint Operator Algorithms for Faster Learning in Dynamical Neural Networks"
"244","72","1989","Performance Comparisons Between Backpropagation Networks and Classification Trees on Three Real-World Applications"
"245","50","1989","A Cost Function for Internal Representations"
"246","17","1989","VLSI Implementation of a High-Capacity Neural Network Associative Memory"
"247","216","1989","A self-organizing multiple-view representation of 3D objects"
"248","16","1989","Development and Regeneration of Eye-Brain Maps: A Computational Model"
"249","12","1989","Coupled Markov Random Fields and Mean Field Theory"
"250","2596","1989","Optimal Brain Damage"
"251","1","1989","Model Based Image Compression and Adaptive Data Representation by Interacting Filter Banks"
"252","5","1989","The Cocktail Party Problem: Speech/Data Signal Separation Comparison between Backpropagation and SONN"
"253","1","1989","A Systematic Study of the Input/Output Properties of a 2 Compartment Model Neuron With Active Membranes"
"254","105","1989","Algorithms for Better Representation and Faster Learning in Radial Basis Function Networks"
"255","46","1989","Predicting Weather Using a Genetic Memory: A Combination of Kanerva's Sparse Distributed Memory with Holland's Genetic Algorithms"
"256","11","1989","Discovering High Order Features with Mean Field Modules"
"257","2076","1989","Handwritten Digit Recognition with a Back-Propagation Network"
"258","68","1989","Analysis of Linsker's Simulations of Hebbian Rules"
"259","22","1989","Neural Network Visualization"
"260","2","1989","Computational Efficiency: A Common Organizing Principle for Parallel Computer Maps and Brain Maps?"
"261","237","1989","Generalization and Parameter Estimation in Feedforward Nets: Some Experiments"
"262","30","1989","Neural Networks: The Early Days"
"263","29","1989","HMM Speech Recognition with Neural Net Discrimination"
"264","3","1989","Can Simple Cells Learn Curves? A Hebbian Model in a Structured Environment"
"265","64","1989","Sigma-Pi Learning: On Radial Basis Functions and Cortical Associative Learning"
"266","206","1989","Maximum Likelihood Competitive Learning"
"267","5","1989","The Effects of Circuit Integration on a Feature Map Vector Quantizer"
"268","2","1989","Mechanisms for Neuromodulation of Biological Neural Networks"
"269","3","1989","Contour-Map Encoding of Shape for Early Vision"
"270","12","1989","Analog Neural Networks of Limited Precision I: Computing with Multilinear Threshold Functions"
"271","11","1989","Non-Boltzmann Dynamics in Networks of Spiking Neurons"
"272","4","1989","A Computer Modeling Approach to Understanding the Inferior Olive and Its Relationships to the Cerebellar Cortex in Rats"
"273","136","1989","Synergy of Clustering Multiple Back Propagation Networks"
"274","32","1989","Operational Fault Tolerance of CMAC Networks"
"275","18","1989","Real-Time Computer Vision and Robotics Using Analog VLSI Circuits"
"276","6","1989","An Analog VLSI Model of Adaptation in the Vestibulo-Ocular Reflex"
"277","3","1989","Analog Circuits for Constrained Optimization"
"278","20","1989","A Self-organizing Associative Memory System for Control Applications"
"279","13","1989","The Computation of Sound Source Elevation in the Barn Owl"
"280","204","1989","A Reconfigurable Analog VLSI Neural Network Chip"
"281","65","1989","Practical Characteristics of Neural Network and Conventional Pattern Classifiers on Artificial and Speech Problems"
"282","59","1989","Dynamic Behavior of Constained Back-Propagation Networks"
"283","45","1989","Incremental Parsing by Modular Recurrent Connectionist Networks"
"284","204","1989","Training Connectionist Networks with Queries and Selective Sampling"
"285","0","1990","An Attractor Neural Network Model of Recall and Recognition"
"286","22","1990","Real-time autonomous robot navigation using VLSI neural networks"
"287","25","1990","Can neural networks do better than the Vapnik-Chervonenkis bounds?"
"288","17","1990","Discovering Discrete Distributed Representations with Iterative Competitive Learning"
"289","1","1990","Oscillation Onset in Neural Delayed Feedback"
"290","2","1990","VLSI Implementation of TInMANN"
"291","27","1990","Continuous Speech Recognition by Linked Predictive Neural Networks"
"292","53","1990","Sequential Adaptation of Radial Basis Function Neural Networks and its Application to Time-series Prediction"
"293","404","1990","Back Propagation is Sensitive to Initial Conditions"
"294","6","1990","Translating Locative Prepositions"
"295","24","1990","Design and Implementation of a High Speed CMAC Neural Network Using Programmable CMOS Logic Cell Arrays"
"296","133","1990","Evaluation of Adaptive Mixtures of Competing Experts"
"297","14","1990","Generalization Dynamics in LMS Trained Linear Networks"
"298","38","1990","Oriented Non-Radial Basis Functions for Image Coding and Analysis"
"299","5","1990","Connection Topology and Dynamics in Lateral Inhibition Networks"
"300","3","1990","Signal Processing by Multiplexing and Demultiplexing in Neurons"
"301","1","1990","Proximity Effect Corrections in Electron Beam Lithography Using a Neural Network"
"302","570","1990","SEXNET: A Neural Network Identifies Sex From Human Faces"
"303","9","1990","Exploratory Feature Extraction in Speech Signals"
"304","28","1990","Learning to See Rotation and Dilation with a Hebb Rule"
"305","24","1990","Adjoint-Functions and Temporal Learning Algorithms in Neural Networks"
"306","8","1990","An Analog VLSI Splining Network"
"307","78","1990","A Theory for Neural Networks with Time Delays"
"308","40","1990","VLSI Implementations of Learning and Memory Systems: A Review"
"309","39","1990","Chaitin-Kolmogorov Complexity and Generalization in Neural Networks"
"310","101","1990","A Neural Expert System with Automated Extraction of Fuzzy If-Then Rules and Its Application to Medical Diagnosis"
"311","0","1990","Neural Dynamics of Motion Segmentation and Grouping"
"312","3","1990","Exploiting Syllable Structure in a Connectionist Phonology Model"
"313","8","1990","Flight Control in the Dragonfly: A Neurobiological Simulation"
"314","19","1990","Optimal Filtering in the Salamander Retina"
"315","6","1990","On the Circuit Complexity of Neural Networks"
