index,citations,year,Author0,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,citations_average
150,20,1988,Phillip Alvelda,A. Miguel San Martin,,,,,,,,,,,,,,,,,0.6666666666666666
151,101,1988,John S. Denker,W. R. Gardner,Hans Peter Graf,Donnie Henderson,R. E. Howard,W. Hubbard,L. D. Jackel,Henry S. Baird,Isabelle Guyon,,,,,,,,,,3.3666666666666667
152,68,1988,Griff L. Bilbro,Wesley E. Snyder,,,,,,,,,,,,,,,,,2.2666666666666666
153,29,1988,James R. Mann,Sheldon Gilbert,,,,,,,,,,,,,,,,,0.9666666666666667
154,34,1988,Charles M. Marcus,R. M. Westervelt,,,,,,,,,,,,,,,,,1.1333333333333333
157,234,1988,John Moody,,,,,,,,,,,,,,,,,,7.8
158,3,1988,James Hendler,,,,,,,,,,,,,,,,,,0.1
163,32,1988,Yoshihiro Mori,Kazuhiko Yokosawa,,,,,,,,,,,,,,,,,1.0666666666666667
164,67,1988,Jordan B. Pollack,,,,,,,,,,,,,,,,,,2.2333333333333334
165,13,1988,Allen M. Waxman,Michael Seibert,Robert K. Cunningham,Jian Wu,,,,,,,,,,,,,,,0.43333333333333335
167,188,1988,Terence D. Sanger,,,,,,,,,,,,,,,,,,6.266666666666667
169,3,1988,Moshe Kam,Roger Cheng,,,,,,,,,,,,,,,,,0.1
171,12,1988,Bill Baird,,,,,,,,,,,,,,,,,,0.4
172,11,1988,Patrice Y. Simard,Mary B. Ottaway,Dana H. Ballard,,,,,,,,,,,,,,,,0.36666666666666664
173,11,1988,Mark A. Gluck,M. Pavel,Van Henkle,,,,,,,,,,,,,,,,0.36666666666666664
175,21,1988,Bahram Nabet,Robert B. Darling,Robert B. Pinter,,,,,,,,,,,,,,,,0.7
176,5,1988,Patric K. Stanton,Terrence J. Sejnowski,,,,,,,,,,,,,,,,,0.16666666666666666
177,51,1988,Randall D. Beer,Hillel J. Chiel,Leon S. Sterling,,,,,,,,,,,,,,,,1.7
178,32,1988,Rodney M. Goodman,John W. Miller,Padhraic Smyth,,,,,,,,,,,,,,,,1.0666666666666667
180,231,1988,Yves Chauvin,,,,,,,,,,,,,,,,,,7.7
181,19,1988,Nigel M. Allinson,Martin J. Johnson,Kevin J. Moon,,,,,,,,,,,,,,,,0.6333333333333333
182,794,1988,Dean A. Pomerleau,,,,,,,,,,,,,,,,,,26.466666666666665
183,15,1988,Jack L. Meador,Clint S. Cole,,,,,,,,,,,,,,,,,0.5
184,75,1989,Richard Rohwer,,,,,,,,,,,,,,,,,,2.586206896551724
186,5,1989,David S. Touretzky,Gillette Elvgreen III,,,,,,,,,,,,,,,,,0.1724137931034483
187,4026,1989,Scott E. Fahlman,Christian Lebiere,,,,,,,,,,,,,,,,,138.82758620689654
189,29,1989,Yoshihiro Mori,Kazuki Joe,,,,,,,,,,,,,,,,,1.0
191,31,1989,David S. Touretzky,Deirdre W. Wheeler,,,,,,,,,,,,,,,,,1.0689655172413792
192,10,1989,Paul A. Viola,,,,,,,,,,,,,,,,,,0.3448275862068966
194,4,1989,Michail Zak,Nikzad Benny Toomarian,,,,,,,,,,,,,,,,,0.13793103448275862
195,61,1989,Michael C. Mozer,Jonathan Bachrach,,,,,,,,,,,,,,,,,2.103448275862069
196,3,1989,Tony Bell,,,,,,,,,,,,,,,,,,0.10344827586206896
197,18,1989,Tal Grossman,,,,,,,,,,,,,,,,,,0.6206896551724138
200,35,1989,Susan Ciarrocca Lee,,,,,,,,,,,,,,,,,,1.206896551724138
203,12,1989,Gintaras V. Reklaitis,Athanasios G. Tsirukis,Manoel Fernando Tenorio,,,,,,,,,,,,,,,,0.41379310344827586
207,0,1989,Pierre Baldi,Yosef Rinott,Charles Stein,,,,,,,,,,,,,,,,0.0
209,33,1989,Kevin J. Lang,Geoffrey E. Hinton,,,,,,,,,,,,,,,,,1.1379310344827587
214,7,1989,Amir F. Atiya,Yaser S. Abu-Mostafa,,,,,,,,,,,,,,,,,0.2413793103448276
215,12,1989,Fernando J. Nuñez,José A. B. Fortes,,,,,,,,,,,,,,,,,0.41379310344827586
217,4,1989,Amir Dembo,Kai-Yeung Siu,Thomas Kailath,,,,,,,,,,,,,,,,0.13793103448275862
218,165,1989,Michael I. Jordan,Robert A. Jacobs,,,,,,,,,,,,,,,,,5.689655172413793
219,13,1989,James A. Simmons,,,,,,,,,,,,,,,,,,0.4482758620689655
221,102,1989,A. G. Barto,R. S. Sutton,C. J. C. H. Watkins,,,,,,,,,,,,,,,,3.5172413793103448
222,347,1989,John S. Bridle,,,,,,,,,,,,,,,,,,11.96551724137931
223,43,1989,John B. Hampshire II,Alex Waibel,,,,,,,,,,,,,,,,,1.4827586206896552
225,4,1989,David Servan-Schreiber,Harry Printz,Jonathan D. Cohen,,,,,,,,,,,,,,,,0.13793103448275862
227,168,1989,C. Lee Giles,Guo-Zheng Sun,Hsing-Hen Chen,Yee-Chun Lee,Dong Chen,,,,,,,,,,,,,,5.793103448275862
228,13,1989,Sheri L. Gish,W. E. Blanz,,,,,,,,,,,,,,,,,0.4482758620689655
230,103,1989,Xiru Zhang,Michael McKenna,Jill P. Mesirov,David L. Waltz,,,,,,,,,,,,,,,3.5517241379310347
231,20,1989,G. T. Kenyon,Eberhard E. Fetz,R. D. Puff,,,,,,,,,,,,,,,,0.6896551724137931
232,84,1989,Christopher G. Atkeson,,,,,,,,,,,,,,,,,,2.896551724137931
233,35,1989,Nathan Intrator,,,,,,,,,,,,,,,,,,1.206896551724138
235,4,1989,Yoshua Bengio,Samy Bengio,Yannick Pouliot,Patrick Agin,,,,,,,,,,,,,,,0.13793103448275862
237,7,1989,Ira Smotroff,,,,,,,,,,,,,,,,,,0.2413793103448276
238,40,1989,Michael Brownlow,Lionel Tarassenko,Alan F. Murray,Alister Hamilton,Il Song Han,H. Martin Reekie,,,,,,,,,,,,,1.3793103448275863
239,3,1989,Jim Donnett,Tim Smithers,,,,,,,,,,,,,,,,,0.10344827586206896
240,37,1989,Fernando J. Pineda,,,,,,,,,,,,,,,,,,1.2758620689655173
241,28,1989,Richard S. Zemel,Michael C. Mozer,Geoffrey E. Hinton,,,,,,,,,,,,,,,,0.9655172413793104
243,16,1989,Jacob Barhen,Nikzad Benny Toomarian,Sandeep Gulati,,,,,,,,,,,,,,,,0.5517241379310345
244,72,1989,Les E. Atlas,Ronald A. Cole,Jerome T. Connor,Mohamed A. El-Sharkawi,Robert J. Marks II,Yeshwant K. Muthusamy,Etienne Barnard,,,,,,,,,,,,2.4827586206896552
245,50,1989,Anders Krogh,C. I. Thorbergsson,John A. Hertz,,,,,,,,,,,,,,,,1.7241379310344827
246,17,1989,Tzi-Dar Chiueh,Rodney M. Goodman,,,,,,,,,,,,,,,,,0.5862068965517241
248,16,1989,Jack D. Cowan,A. E. Friedman,,,,,,,,,,,,,,,,,0.5517241379310345
249,12,1989,Davi Geiger,Federico Girosi,,,,,,,,,,,,,,,,,0.41379310344827586
250,2596,1989,Yann LeCun,John S. Denker,Sara A. Solla,,,,,,,,,,,,,,,,89.51724137931035
251,1,1989,Toshiaki Okamoto,Mitsuo Kawato,Toshio Inui,Sei Miyake,,,,,,,,,,,,,,,0.034482758620689655
252,5,1989,John Kassebaum,Manoel Fernando Tenorio,Christoph Schaefers,,,,,,,,,,,,,,,,0.1724137931034483
256,11,1989,Conrad C. Galland,Geoffrey E. Hinton,,,,,,,,,,,,,,,,,0.3793103448275862
257,2076,1989,Yann LeCun,Bernhard E. Boser,John S. Denker,Donnie Henderson,R. E. Howard,Wayne E. Hubbard,Lawrence D. Jackel,,,,,,,,,,,,71.58620689655173
258,68,1989,David J. C. MacKay,Kenneth D. Miller,,,,,,,,,,,,,,,,,2.3448275862068964
261,237,1989,N. Morgan,H. Bourlard,,,,,,,,,,,,,,,,,8.172413793103448
262,30,1989,Jack D. Cowan,,,,,,,,,,,,,,,,,,1.0344827586206897
263,29,1989,William Y. Huang,Richard P. Lippmann,,,,,,,,,,,,,,,,,1.0
265,64,1989,Bartlett W. Mel,Christof Koch,,,,,,,,,,,,,,,,,2.206896551724138
266,206,1989,Steven J. Nowlan,,,,,,,,,,,,,,,,,,7.103448275862069
272,4,1989,Maurice Lee,James M. Bower,,,,,,,,,,,,,,,,,0.13793103448275862
273,136,1989,William P. Lincoln,Josef Skrzypek,,,,,,,,,,,,,,,,,4.689655172413793
277,3,1989,John C. Platt,,,,,,,,,,,,,,,,,,0.10344827586206896
280,204,1989,Srinagesh Satyanarayana,Yannis P. Tsividis,Hans Peter Graf,,,,,,,,,,,,,,,,7.0344827586206895
281,65,1989,Yuchun Lee,Richard P. Lippmann,,,,,,,,,,,,,,,,,2.2413793103448274
282,59,1989,Yves Chauvin,,,,,,,,,,,,,,,,,,2.0344827586206895
284,204,1989,Les E. Atlas,David A. Cohn,Richard E. Ladner,,,,,,,,,,,,,,,,7.0344827586206895
285,0,1990,Eytan Ruppin,Yehezkel Yeshurun,,,,,,,,,,,,,,,,,0.0
286,22,1990,Lionel Tarassenko,Michael Brownlow,Gillian Marshall,Jan Tombs,Alan Murray,,,,,,,,,,,,,,0.7857142857142857
287,25,1990,David Cohn,Gerald Tesauro,,,,,,,,,,,,,,,,,0.8928571428571429
288,17,1990,Michael C. Mozer,,,,,,,,,,,,,,,,,,0.6071428571428571
289,1,1990,André Longtin,,,,,,,,,,,,,,,,,,0.03571428571428571
294,6,1990,Paul W. Munro,Mary Tabasko,,,,,,,,,,,,,,,,,0.21428571428571427
295,24,1990,W. Thomas Miller III,Brian A. Box,Erich C. Whitney,James M. Glynn,,,,,,,,,,,,,,,0.8571428571428571
296,133,1990,Steven J. Nowlan,Geoffrey E. Hinton,,,,,,,,,,,,,,,,,4.75
297,14,1990,Yves Chauvin,,,,,,,,,,,,,,,,,,0.5
299,5,1990,C.M Marcus,F. R. Waugh,R. M. Westervelt,,,,,,,,,,,,,,,,0.17857142857142858
302,570,1990,B.A. Golomb,D.T. Lawrence,T.J. Sejnowski,,,,,,,,,,,,,,,,20.357142857142858
304,28,1990,Martin I. Sereno,Margaret E. Sereno,,,,,,,,,,,,,,,,,1.0
306,8,1990,Daniel B. Schwartz,Vijay K. Samalam,,,,,,,,,,,,,,,,,0.2857142857142857
308,40,1990,Mark A. Holler,,,,,,,,,,,,,,,,,,1.4285714285714286
309,39,1990,Barak A. Pearlmutter,Ronald Rosenfeld,,,,,,,,,,,,,,,,,1.3928571428571428
310,101,1990,Yoichi Hayashi,,,,,,,,,,,,,,,,,,3.607142857142857
311,0,1990,Ennio Mingolla,,,,,,,,,,,,,,,,,,0.0
313,8,1990,William E. Faller,Marvin W. Luttges,,,,,,,,,,,,,,,,,0.2857142857142857
318,3,1990,Michael L. Rossen,,,,,,,,,,,,,,,,,,0.10714285714285714
320,44,1990,John S. Bridle,Stephen J. Cox,,,,,,,,,,,,,,,,,1.5714285714285714
323,0,1990,Ajay Gupta,Wolfgang Maass,,,,,,,,,,,,,,,,,0.0
324,1,1990,Jeffrey L. Teeters,Frank H. Eeckman,Frank S. Werblin,,,,,,,,,,,,,,,,0.03571428571428571
326,1,1990,Einar Sørheim,,,,,,,,,,,,,,,,,,0.03571428571428571
327,11,1990,A. Kramer,C. K. Sin,R. Chu,P. K. Ko,,,,,,,,,,,,,,,0.39285714285714285
328,7,1990,Wesley Snyder,Daniel Nissman,David Van den Bout,Griff Bilbro,,,,,,,,,,,,,,,0.25
329,26,1990,Ruth Erlanson,Yaser Abu-Mostafa,,,,,,,,,,,,,,,,,0.9285714285714286
330,66,1990,Sherif M. Botros,Christopher G. Atkeson,,,,,,,,,,,,,,,,,2.357142857142857
331,13,1990,Anders Krogh,John A. Hertz,,,,,,,,,,,,,,,,,0.4642857142857143
332,18,1990,Stephen Jose Hanson,Mark A. Gluck,,,,,,,,,,,,,,,,,0.6428571428571429
333,32,1990,Jerome H. Friedman,,,,,,,,,,,,,,,,,,1.1428571428571428
334,47,1990,A. C. Tsoi,R. A. Pearson,,,,,,,,,,,,,,,,,1.6785714285714286
337,47,1990,Dean Pomerleau,,,,,,,,,,,,,,,,,,1.6785714285714286
339,9,1990,R.D. Beer,G. J. Kacmarcik,R.E. Ritzmann,H.J. Chiel,,,,,,,,,,,,,,,0.32142857142857145
340,17,1990,Andrew W. Moore,John Allman,Geoffrey Fox,Rodney Goodman,,,,,,,,,,,,,,,0.6071428571428571
342,9,1990,Padhraic Smyth,,,,,,,,,,,,,,,,,,0.32142857142857145
344,104,1990,Léon Bottou,Patrick Gallinari,,,,,,,,,,,,,,,,,3.7142857142857144
345,34,1990,Stephen H. Lane,Marshall Flax,David Handelman,Jack Gelfand,,,,,,,,,,,,,,,1.2142857142857142
349,9,1990,Volker Tresp,,,,,,,,,,,,,,,,,,0.32142857142857145
351,172,1990,Christian Darken,John E. Moody,,,,,,,,,,,,,,,,,6.142857142857143
353,27,1990,Y. C. Pati,P. S. Krishnaprasad,,,,,,,,,,,,,,,,,0.9642857142857143
355,5,1990,Sanjay Biswas,Santosh S. Venkatesh,,,,,,,,,,,,,,,,,0.17857142857142858
357,30,1990,Klaus Obermayer,Helge Ritter,Klaus Schulten,,,,,,,,,,,,,,,,1.0714285714285714
358,10,1990,Robert B. Allen,Candace A. Kamm,,,,,,,,,,,,,,,,,0.35714285714285715
360,3,1990,Khalid Choukri,,,,,,,,,,,,,,,,,,0.10714285714285714
361,60,1990,Amnon Shashua,Shimon Ullman,,,,,,,,,,,,,,,,,2.142857142857143
362,42,1990,Hal McCartor,,,,,,,,,,,,,,,,,,1.5
363,435,1990,Garrison W. Cottrell,Janet Metcalfe,,,,,,,,,,,,,,,,,15.535714285714286
364,59,1990,Richard S. Sutton,,,,,,,,,,,,,,,,,,2.107142857142857
368,4,1990,Alireza Khotanzad,Ying-Wung Lee,,,,,,,,,,,,,,,,,0.14285714285714285
369,2,1990,Griff L. Bilbro,David E. van den Bout,,,,,,,,,,,,,,,,,0.07142857142857142
370,16,1990,Terence D. Sanger,,,,,,,,,,,,,,,,,,0.5714285714285714
371,257,1990,Michael E. Hasselmo,Brooke P. Anderson,James M. Bower,,,,,,,,,,,,,,,,9.178571428571429
372,191,1990,Robert A. Jacobs,Michael I. Jordan,,,,,,,,,,,,,,,,,6.821428571428571
373,123,1990,Jürgen Schmidhuber,,,,,,,,,,,,,,,,,,4.392857142857143
374,307,1990,Scott E. Fahlman,,,,,,,,,,,,,,,,,,10.964285714285714
376,15,1990,Jonathan R. Bachrach,,,,,,,,,,,,,,,,,,0.5357142857142857
377,3,1990,Victor Zue,James Glass,David Goodine,Lynette Hirschman,Hong Leung,Michael Phillips,Joseph Polifroni,Stephanie Seneff,,,,,,,,,,,0.10714285714285714
378,45,1990,J.D. Cowan,,,,,,,,,,,,,,,,,,1.6071428571428572
