index,citations,year,Affiliation0,Affiliation1,Affiliation2,Affiliation3,Affiliation4,Affiliation5,Affiliation6,Affiliation7,Affiliation8,Affiliation9,citations_average
424,14,1990,,,,,,,,,,,0.5
425,4,1990,,,,,,,,,,,0.14285714285714285
426,61,1990,,,,,,,,,,,2.1785714285714284
427,66,1990,Princeton University',,"Professor, University of California'",,,,,,,,2.357142857142857
430,22,1991,,,,,,,,,,,0.8148148148148148
432,186,1991,,,,,,,,,,,6.888888888888889
438,1,1991,,,,,,,,,,,0.037037037037037035
439,1,1991,Blackrock',,,,,,,,,,0.037037037037037035
441,1,1991,,,,,,,,,,,0.037037037037037035
442,230,1991,,"Distinguished Professor (Emeritus), Computer Science, Oregon State University'",,,,,,,,,8.518518518518519
443,4,1991,,,,,,,,,,,0.14814814814814814
445,33,1991,,,,,,,,,,,1.2222222222222223
449,30,1991,,,,,,,,,,,1.1111111111111112
450,16,1991,,,,,,,,,,,0.5925925925925926
451,52,1991,,,,,,,,,,,1.9259259259259258
453,70,1991,,,,,,,,,,,2.5925925925925926
455,46,1991,,,,,,,,,,,1.7037037037037037
457,7,1991,"Professor of Education, University of Strathclyde'",,,,,,,,,,0.25925925925925924
459,163,1991,,,,,,,,,,,6.037037037037037
460,2,1991,,,,,,,,,,,0.07407407407407407
461,20,1991,,,,,,,,,,,0.7407407407407407
464,0,1991,,,,,,,,,,,0.0
468,6,1991,UCL',,,,,,,,,,0.2222222222222222
469,23,1991,,Professor of Linguistics and Cogntive Systems',ATR',"Professor of EECS and Professor of Statistics, University of California, Berkeley'",,,,,,,0.8518518518518519
470,5,1991,"Professor of Computer Science, Australian National University; Distinguished Researcher\xc2\xa0\xe2\x80\xa6'",,,,,,,,,,0.18518518518518517
471,10,1991,"Professor, U. Montreal (Computer Sc. & Op. Res.), Mila, CIFAR, CRM, IVADO, REPARTI\xc2\xa0\xe2\x80\xa6'",Mc Gill University',,,,,,,,,0.37037037037037035
472,84,1991,,,,,,,,,,,3.111111111111111
474,0,1991,,"Professor Emeritus of Biomedical Engineering, Johns Hopkins University'",,,,,,,,,0.0
476,29,1991,"Emeritus Professor of Physics, Tel Aviv University'",Tel-Aviv University',,,,,,,,,1.0740740740740742
477,78,1991,,,,,,,,,,,2.888888888888889
479,4,1991,,,,,,,,,,,0.14814814814814814
484,12,1991,,,,,,"Professor of Physics, University of Wisconsin-Madison, Madison, WI.'",,,,,0.4444444444444444
486,17,1991,,,,,,,,,,,0.6296296296296297
488,1,1991,,Chief Scientist and President',,,,,,,,,0.037037037037037035
490,64,1991,,,"Krieger-Eisenhower Professor of Cognitive Science, Johns Hopkins University'",,,,,,,,2.3703703703703702
491,153,1991,,,,,,,,,,,5.666666666666667
492,2,1991,university of rochester',,,,,,,,,,0.07407407407407407
494,0,1991,,,,,,,,,,,0.0
496,19,1991,,,,,,,,,,,0.7037037037037037
498,8,1991,,,,,,,,,,,0.2962962962962963
499,9,1991,"Associate Prof., ECE, Gatech'",Ecole Polytechnique Federale de Lausanne',,,,,,,,,0.3333333333333333
501,105,1991,,,"Professor, Cognitive Neuroscience, Carnegie Mellon University'",,,,,,,,3.888888888888889
502,14,1991,NEC Laboratories America',,,,,,,,,,0.5185185185185185
504,8,1991,,,,,,,,,,,0.2962962962962963
506,6,1991,,,,"Lab Sensorimotor Research, National Eye Institute, NIH'",,,,,,,0.2222222222222222
507,21,1991,"Professor, Computer Science, University of California Irvine'",,,,,,,,,,0.7777777777777778
509,6,1991,"Courant Institute, New York University'",,,,,,,,,,0.2222222222222222
510,47,1991,,,,,,,,,,,1.7407407407407407
511,48,1991,Numenta',,,,,,,,,,1.7777777777777777
512,3,1991,"Professor of Computer Science, Weizmann Institute of Science'",,,,,,,,,,0.1111111111111111
513,13,1991,,,,,,,,,,,0.48148148148148145
514,21,1991,,,,,,,,,,,0.7777777777777778
515,4,1991,"Professor of Computer Science and Neuroscience, Tel Aviv University'",,Director at Max Planck Institute for Biological Cybernetics',"Professor of Psychology, Cornell University'",,,,,,,0.14814814814814814
519,53,1991,,,,,,,,,,,1.962962962962963
520,0,1991,,,,,,,,,,,0.0
521,5,1991,,ICSI',"Director, Idiap Research Institute; Professor at EPFL'",,,,,,,,0.18518518518518517
522,18,1991,"Scientific Director, UC Santa Cruz Genomics Institute, University of California, Santa Cruz'","Professor of Computer Science, University of Pennsylvania'",,Microsoft Research',,,,,,,0.6666666666666666
524,72,1991,Google',,,,,,,,,,2.6666666666666665
525,24,1991,,"DeepMind and Dept of Computing Science, University of Alberta'",,,,,,,,,0.8888888888888888
527,33,1991,,,,,,,,,,,1.2222222222222223
529,48,1991,"University lecturer, University of Helsinki'","Department of Mathematical Sciences, University of Oulu'",,,,,,,,,1.7777777777777777
531,0,1991,,,,,,,,,,,0.0
532,238,1991,"Professor of EECS and Professor of Statistics, University of California, Berkeley'","Assistant Professor, University of Colorado Colorado Springs'",,,,,,,,,8.814814814814815
534,11,1991,,,,,,,,,,,0.4074074074074074
535,2,1991,,,,,,,,,,,0.07407407407407407
537,31,1991,"Research Specialist (retired), CS Division, UC Berkeley'",,,,,,,,,,1.1481481481481481
538,20,1991,,,,,,,,,,,0.7407407407407407
539,113,1991,,,,,,,,,,,4.185185185185185
540,10,1991,Mayo or University of Maryland',,,,,,,,,,0.37037037037037035
541,3,1991,"Senior Distinguished Research Scientist, Group Leader, Sensory and Motor Research\xc2\xa0\xe2\x80\xa6'",ATR',,,,,,,,,0.1111111111111111
542,9,1991,"Professor, Faculty of Information Technology, Macau University of Science and Technology'",,,,,,,,,,0.3333333333333333
546,2,1991,,Princeton University',,,,,,,,,0.07407407407407407
547,26,1991,Microsoft Research',,,,,,,,,,0.9629629629629629
548,36,1991,,,,,,,,,,,1.3333333333333333
549,62,1991,,,,,,,,,,,2.2962962962962963
551,22,1991,,,ATR',,,,,,,,0.8148148148148148
553,20,1991,,,,,,,,,,,0.7407407407407407
555,34,1991,,,,,,,,,,,1.2592592592592593
556,752,1991,"Department of Biology, University of Copenhagen'",,,,,,,,,,27.85185185185185
557,49,1991,,,,,,,,,,,1.8148148148148149
560,28,1991,,,,,,,,,,,1.037037037037037
562,69,1991,,,,,,,,,,,2.5555555555555554
563,295,1991,,"Professor Electrical and Computer Engineering, Johns Hopkins University'",,,,,,,,,10.925925925925926
564,66,1991,,,,,,,,,,,2.4444444444444446
566,42,1991,,,,,,,,,,,1.5555555555555556
567,254,1991,Microsoft Research',,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York\xc2\xa0\xe2\x80\xa6'",,,,,,,,9.407407407407407
569,14,1991,,,MIT Institute Professor',,,,,,,,0.5185185185185185
570,7,1991,,,,,,,,,,,0.25925925925925924
571,142,1991,,,,,,,,,,,5.2592592592592595
575,12,1992,University of Queensland and ARC Centre of Excellence for the Dynamics of Language',,,,,,,,,,0.46153846153846156
576,418,1992,,,,,,,,,,,16.076923076923077
577,5,1992,"Krieger-Eisenhower Professor of Cognitive Science, Johns Hopkins University'",,,,,,,,,,0.19230769230769232
578,1117,1992,Mose and Lilian S. Bohn Professor of Electrical Engineering',,,,,,,,,,42.96153846153846
581,0,1992,,,,,,,,,,,0.0
586,44,1992,,,,,,,,,,,1.6923076923076923
587,18,1992,,Jibo. Inc',,,,,,,,,0.6923076923076923
588,326,1992,"Principal Researcher, Speech & Dialog Research Group'",,,,,,,,,,12.538461538461538
591,12,1992,,,,,,,,,,,0.46153846153846156
592,3,1992,"Electrical & Computer Engineering, University of Iowa'",,,,,,,,,,0.11538461538461539
593,0,1992,,,,,,,,,,,0.0
594,122,1992,,,,,,,,,,,4.6923076923076925
595,3,1992,,,,,,,,,,,0.11538461538461539
596,74,1992,,,,,,,,,,,2.8461538461538463
597,1,1992,,,,,,,,,,,0.038461538461538464
598,32,1992,,,,,,,,,,,1.2307692307692308
600,7,1992,,,,,,,,,,,0.2692307692307692
602,4,1992,,,,,,,,,,,0.15384615384615385
603,1,1992,,,,,,,,,,,0.038461538461538464
604,11,1992,,"Professor of Psychology, University of Minnesota'",,,,,,,,,0.4230769230769231
605,9,1992,"Dept. of Neurobiology and Behavior, Cornell Univ'","ISTerre, Universit\xc3\xa9 de Savoie'",,,,,,,,,0.34615384615384615
606,3,1992,,,,Ishikawa Prefectural University',,,,,,,0.11538461538461539
609,127,1992,,,,,,,,,,,4.884615384615385
612,40,1992,,,,,,,,,,,1.5384615384615385
